"id","latitude","longitude","tof_mm","sonic_mm","temperature","sonic_raw_mm","tof_raw_mm","accel_raw_x","accel_raw_y","accel_raw_z","measured_at"
"445",NULL,NULL,"5",NULL,"18.31","0","826","-0.0351","-0.1482","1.0296","2026-05-28 08:03:53"
"444",NULL,NULL,"0",NULL,"18.27","0","832","-0.0351","-0.156","1.0257","2026-05-28 08:03:53"
"443",NULL,NULL,"2",NULL,"18.31","0","858","-0.0351","-0.1482","1.0335","2026-05-28 08:03:53"
"442",NULL,NULL,"0",NULL,"18.30","0","838","-0.0312","-0.1443","1.0374","2026-05-28 08:03:53"
"441",NULL,NULL,"0",NULL,"18.12","0","20","-0.0351","-0.1521","1.0296","2026-05-28 08:03:53"
"440",NULL,NULL,"1","0","25.56","19","10","-0.0507","-0.1482","1.0764","2026-05-28 08:03:21"
"439",NULL,NULL,"1","0","25.38","19","10","-0.0468","-0.1482","1.0842","2026-05-28 08:03:21"
"438",NULL,NULL,"1","0","25.84","26","6","-0.0195","-0.1521","0.936","2026-05-28 08:03:21"
"437",NULL,NULL,"1","0","25.63","32","8","-0.0429","-0.1482","1.0764","2026-05-28 08:03:21"
"436",NULL,NULL,"1","0","25.58","32","10","-0.0429","-0.1482","1.0764","2026-05-28 08:03:21"
"435",NULL,NULL,"1","0","25.78","32","8","-0.0429","-0.1443","1.0803","2026-05-28 08:03:21"
"434",NULL,NULL,"1","0","25.61","32","9","-0.0468","-0.156","1.0803","2026-05-28 08:03:21"
"433",NULL,NULL,"1","0","25.55","32","9","-0.0468","-0.1482","1.0764","2026-05-28 08:03:21"
"432",NULL,NULL,"1","0","25.34","32","10","-0.0468","-0.1443","1.0725","2026-05-28 08:03:21"
"431",NULL,NULL,"1","0","25.73","32","9","-0.0468","-0.1482","1.0764","2026-05-28 08:03:21"
"430",NULL,NULL,"1","0","25.63","32","9","-0.0468","-0.1482","1.0725","2026-05-28 08:03:11"
"429",NULL,NULL,"1","0","25.52","32","11","-0.0468","-0.1482","1.0764","2026-05-28 08:03:11"
"428",NULL,NULL,"1","0","25.89","29","10","-0.0546","-0.195","1.0491","2026-05-28 08:03:11"
"427",NULL,NULL,"1","0","25.84","32","9","-0.0468","-0.156","1.0842","2026-05-28 08:03:11"
"426",NULL,NULL,"1","0","25.78","32","8","-0.0429","-0.1482","1.0725","2026-05-28 08:03:11"
"425",NULL,NULL,"0","0","25.65","32","9","0.0039","-0.0975","1.0803","2026-05-28 08:03:11"
"424",NULL,NULL,"0","0","25.80","32","8","-0.0468","-0.1521","1.0803","2026-05-28 08:03:11"
"423",NULL,NULL,"0","0","25.90","32","9","0.0039","-0.1287","1.0764","2026-05-28 08:03:11"
"422",NULL,NULL,"0","0","25.58","32","9","-0.1521","-0.0351","1.1232","2026-05-28 08:03:11"
"421",NULL,NULL,"0","0","25.99","32","8","-0.0429","-0.1521","1.0803","2026-05-28 08:03:11"
"420",NULL,NULL,"0","0","18.25","735","544","-0.0273","-0.1248","1.0374","2026-05-28 08:02:41"
"419",NULL,NULL,"0","0","18.23","735","544","-0.0273","-0.1287","1.0335","2026-05-28 08:02:41"
"418",NULL,NULL,"0","0","18.23","735","544","-0.0312","-0.1209","1.0296","2026-05-28 08:02:41"
"417",NULL,NULL,"0","0","18.21","735","544","-0.0273","-0.1209","1.0296","2026-05-28 08:02:41"
"416",NULL,NULL,"0","734","18.22","0","544","-0.0312","-0.1248","1.0296","2026-05-28 08:02:41"
"415",NULL,NULL,"0","734","18.26","0","544","-0.0117","-0.2535","1.0296","2026-05-28 08:02:41"
"414",NULL,NULL,"0","734","18.27","0","544","-0.4524","0.1248","1.1271","2026-05-28 08:02:41"
"413",NULL,NULL,"0","734","18.25","0","544","-0.1482","-0.0429","1.0062","2026-05-28 08:02:41"
"412",NULL,NULL,"0","734","18.53","0","544","0.0312","0.0234","1.0413","2026-05-28 08:02:41"
"411",NULL,NULL,"0","520","17.35","200","560","-0.0234","-0.1248","0.9828","2026-05-28 08:02:41"
"410",NULL,NULL,"0","3","18.20","731","571","-0.0273","-0.1326","1.0218","2026-05-28 08:02:36"
"409",NULL,NULL,"0","2","18.17","731","20","-0.0312","-0.1287","1.0218","2026-05-28 08:02:36"
"408",NULL,NULL,"0","2","18.26","731","546","-0.0273","-0.1326","1.0335","2026-05-28 08:02:36"
"407",NULL,NULL,"0","2","18.14","732","484","-0.0195","-0.117","0.9984","2026-05-28 08:02:36"
"406",NULL,NULL,"0","2","18.15","732","508","-0.0312","-0.1326","1.0257","2026-05-28 08:02:36"
"405",NULL,NULL,"0","2","18.21","732","526","-0.0312","-0.1287","1.0218","2026-05-28 08:02:36"
"404",NULL,NULL,"0","2","18.25","732","528","-0.0273","-0.1248","1.0257","2026-05-28 08:02:36"
"403",NULL,NULL,"0","2","18.25","614","20","-0.0273","-0.1287","1.0218","2026-05-28 08:02:36"
"402",NULL,NULL,"0","2","18.25","732","527","-0.0312","-0.1248","1.0218","2026-05-28 08:02:36"
"401",NULL,NULL,"0","2","18.26","732","523","-0.0312","-0.1248","1.0257","2026-05-28 08:02:36"
"400",NULL,NULL,"0","2","18.28","732","536","-0.0312","-0.1287","1.0296","2026-05-28 08:02:31"
"399",NULL,NULL,"0","0","18.25","731","538","-0.0234","-0.1248","1.0218","2026-05-28 08:02:31"
"398",NULL,NULL,"0","2","18.31","731","20","-0.0273","-0.1365","1.0218","2026-05-28 08:02:31"
"397",NULL,NULL,"0","3","18.30","731","516","-0.0312","-0.1326","1.0296","2026-05-28 08:02:31"
"396",NULL,NULL,"1","3","18.16","731","495","-0.0351","-0.1248","1.0257","2026-05-28 08:02:31"
"395",NULL,NULL,"51","2","18.23","731","406","-0.0273","-0.1326","1.0296","2026-05-28 08:02:31"
"394",NULL,NULL,"111","0","18.23","226","379","-0.0312","-0.1326","1.0335","2026-05-28 08:02:31"
"393",NULL,NULL,"115","0","18.28","736","337","-0.0312","-0.1248","1.0257","2026-05-28 08:02:31"
"392",NULL,NULL,"114","0","18.31","740","345","-0.0351","-0.1248","1.0335","2026-05-28 08:02:31"
"391",NULL,NULL,"0","0","18.16","220","336","-0.0312","-0.1248","1.0218","2026-05-28 08:02:31"
"390",NULL,NULL,NULL,"0","25.78","744","0","-0.0351","-0.156","1.0413","2026-05-28 08:01:38"
"389",NULL,NULL,NULL,"0","25.75","743","0","-0.0312","-0.1521","1.0335","2026-05-28 08:01:38"
"388",NULL,NULL,NULL,"0","25.77","743","0","-0.0312","-0.1521","1.0218","2026-05-28 08:01:38"
"387",NULL,NULL,NULL,"0","25.70","743","0","-0.0351","-0.1482","1.0296","2026-05-28 08:01:38"
"386",NULL,NULL,NULL,"0","25.78","743","0","-0.0351","-0.1599","1.0374","2026-05-28 08:01:38"
"385",NULL,NULL,NULL,"0","25.73","743","0","-0.0312","-0.1521","1.0218","2026-05-28 08:01:38"
"384",NULL,NULL,NULL,"0","25.85","743","0","-0.0312","-0.156","1.0257","2026-05-28 08:01:38"
"383",NULL,NULL,NULL,"0","25.85","743","0","-0.0273","-0.1521","1.0296","2026-05-28 08:01:38"
"382",NULL,NULL,NULL,"0","25.78","743","0","-0.0273","-0.1521","1.0296","2026-05-28 08:01:38"
"381",NULL,NULL,NULL,"0","25.80","743","0","-0.0351","-0.1482","1.0296","2026-05-28 08:01:38"
"380",NULL,NULL,NULL,"0","25.80","747","0","-0.0195","-0.1443","0.9594","2026-05-28 08:01:33"
"379",NULL,NULL,NULL,"0","25.85","743","0","-0.039","-0.1443","1.0881","2026-05-28 08:01:33"
"378",NULL,NULL,NULL,"0","25.81","743","0","-0.0312","-0.1521","1.0257","2026-05-28 08:01:33"
"377",NULL,NULL,NULL,"0","25.72","748","0","-0.0312","-0.1521","1.0257","2026-05-28 08:01:33"
"376",NULL,NULL,NULL,"0","25.77","743","0","-0.0312","-0.1521","1.0218","2026-05-28 08:01:33"
"375",NULL,NULL,NULL,"0","25.81","743","0","-0.0351","-0.1482","1.0257","2026-05-28 08:01:33"
"374",NULL,NULL,NULL,"0","25.74","743","0","-0.0312","-0.156","1.0257","2026-05-28 08:01:33"
"373",NULL,NULL,NULL,"0","25.75","747","0","-0.0351","-0.1521","1.0179","2026-05-28 08:01:33"
"372",NULL,NULL,NULL,"0","25.80","747","0","-0.0312","-0.156","1.0257","2026-05-28 08:01:33"
"371",NULL,NULL,NULL,"0","25.75","747","0","-0.0312","-0.1521","1.0335","2026-05-28 08:01:33"
"370",NULL,NULL,NULL,"0","25.83","743","0","-0.0312","-0.156","1.0257","2026-05-28 08:01:28"
"369",NULL,NULL,NULL,"0","25.71","747","0","-0.0312","-0.1521","1.0218","2026-05-28 08:01:28"
"368",NULL,NULL,NULL,"0","25.76","747","0","-0.0273","-0.1521","1.0218","2026-05-28 08:01:28"
"367",NULL,NULL,NULL,"0","25.71","747","0","-0.0312","-0.1482","1.0257","2026-05-28 08:01:28"
"366",NULL,NULL,NULL,"0","25.78","743","0","-0.0312","-0.1482","1.0296","2026-05-28 08:01:28"
"365",NULL,NULL,NULL,"0","25.78","748","0","-0.0312","-0.156","1.0218","2026-05-28 08:01:28"
"364",NULL,NULL,NULL,"0","25.71","743","0","-0.0351","-0.1482","1.0257","2026-05-28 08:01:28"
"363",NULL,NULL,NULL,"0","25.78","743","0","-0.0312","-0.1521","1.0218","2026-05-28 08:01:28"
"362",NULL,NULL,NULL,"0","25.62","743","0","-0.0273","-0.1521","1.0257","2026-05-28 08:01:28"
"361",NULL,NULL,NULL,"0","25.62","743","0","-0.0312","-0.156","1.0257","2026-05-28 08:01:28"
"360",NULL,NULL,NULL,"0","25.68","743","0","-0.0312","-0.1521","1.0257","2026-05-28 08:01:24"
"359",NULL,NULL,NULL,"0","25.72","743","0","-0.0351","-0.1482","1.0296","2026-05-28 08:01:24"
"358",NULL,NULL,NULL,"0","25.61","743","0","-0.0312","-0.1521","1.0257","2026-05-28 08:01:24"
"357",NULL,NULL,NULL,"0","25.64","743","0","-0.0312","-0.156","1.0257","2026-05-28 08:01:24"
"356",NULL,NULL,NULL,"0","25.70","743","0","-0.0312","-0.1482","1.0257","2026-05-28 08:01:24"
"355",NULL,NULL,NULL,"0","25.66","743","0","-0.0351","-0.1482","1.0179","2026-05-28 08:01:24"
"354",NULL,NULL,NULL,"0","25.70","743","0","-0.0312","-0.1521","1.0218","2026-05-28 08:01:23"
"353",NULL,NULL,NULL,"0","25.74","743","0","-0.0312","-0.1521","1.0218","2026-05-28 08:01:23"
"352",NULL,NULL,NULL,"0","25.72","747","0","-0.0273","-0.1521","1.0296","2026-05-28 08:01:23"
"351",NULL,NULL,NULL,"0","25.63","743","0","-0.0351","-0.1482","1.0218","2026-05-28 08:01:23"
"350",NULL,NULL,NULL,"0","25.63","743","0","-0.0273","-0.1521","1.0179","2026-05-28 08:01:18"
"349",NULL,NULL,NULL,"0","25.65","743","0","-0.0312","-0.1521","1.0179","2026-05-28 08:01:18"
"348",NULL,NULL,NULL,"0","25.60","743","0","-0.0351","-0.1482","1.014","2026-05-28 08:01:18"
"347",NULL,NULL,NULL,"0","25.68","743","0","-0.0273","-0.156","1.0296","2026-05-28 08:01:18"
"346",NULL,NULL,NULL,"0","25.62","743","0","-0.0351","-0.1482","1.0257","2026-05-28 08:01:18"
"345",NULL,NULL,NULL,"0","25.65","747","0","-0.0312","-0.1521","1.0257","2026-05-28 08:01:18"
"344",NULL,NULL,NULL,"0","25.60","747","0","-0.0312","-0.1482","1.0218","2026-05-28 08:01:18"
"343",NULL,NULL,NULL,"0","25.63","743","0","-0.0312","-0.1521","1.0296","2026-05-28 08:01:18"
"342",NULL,NULL,NULL,"0","25.61","747","0","-0.0312","-0.1521","1.0296","2026-05-28 08:01:18"
"341",NULL,NULL,NULL,"0","25.71","747","0","-0.0273","-0.1482","1.0257","2026-05-28 08:01:18"
"340",NULL,NULL,NULL,"0","25.66","743","0","-0.0312","-0.156","1.0257","2026-05-28 08:01:14"
"339",NULL,NULL,NULL,"0","25.59","743","0","-0.0312","-0.1482","1.0257","2026-05-28 08:01:14"
"338",NULL,NULL,NULL,"0","25.56","743","0","-0.0351","-0.1521","1.0296","2026-05-28 08:01:14"
"337",NULL,NULL,NULL,"0","25.66","743","0","-0.0312","-0.1521","1.0218","2026-05-28 08:01:14"
"336",NULL,NULL,NULL,"0","25.70","743","0","-0.0312","-0.1482","1.0296","2026-05-28 08:01:14"
"335",NULL,NULL,NULL,"0","25.68","747","0","-0.0312","-0.1521","1.0257","2026-05-28 08:01:14"
"334",NULL,NULL,NULL,"0","25.65","743","0","-0.0351","-0.156","1.0218","2026-05-28 08:01:14"
"333",NULL,NULL,NULL,"0","25.63","747","0","-0.0312","-0.1521","1.0179","2026-05-28 08:01:14"
"332",NULL,NULL,NULL,"0","25.57","746","0","-0.0351","-0.1521","1.0218","2026-05-28 08:01:14"
"331",NULL,NULL,NULL,"0","25.67","746","0","-0.0312","-0.1521","1.0335","2026-05-28 08:01:14"
"330",NULL,NULL,NULL,"0","25.35","746","0","-0.0312","-0.1521","1.0296","2026-05-28 08:01:11"
"329",NULL,NULL,NULL,"0","25.66","746","0","-0.0312","-0.1443","1.0218","2026-05-28 08:01:11"
"328",NULL,NULL,NULL,"0","25.67","746","0","-0.039","-0.1482","1.0257","2026-05-28 08:01:11"
"327",NULL,NULL,NULL,"0","25.60","743","0","-0.0312","-0.1482","1.0218","2026-05-28 08:01:11"
"326",NULL,NULL,NULL,"0","25.53","743","0","-0.0351","-0.1443","1.0296","2026-05-28 08:01:11"
"325",NULL,NULL,NULL,"0","25.60","747","0","-0.0312","-0.1482","1.0257","2026-05-28 08:01:11"
"324",NULL,NULL,NULL,"0","25.54","743","0","-0.0273","-0.1482","1.0296","2026-05-28 08:01:11"
"323",NULL,NULL,NULL,"0","25.65","743","0","-0.0312","-0.1521","1.0296","2026-05-28 08:01:11"
"322",NULL,NULL,NULL,"0","25.55","743","0","-0.0312","-0.1482","1.0296","2026-05-28 08:01:11"
"321",NULL,NULL,NULL,"0","25.53","747","0","-0.0312","-0.1482","1.0257","2026-05-28 08:01:11"
"320",NULL,NULL,NULL,"0","25.45","743","0","-0.0351","-0.1482","1.0296","2026-05-28 08:01:03"
"319",NULL,NULL,NULL,"0","25.56","742","0","-0.0312","-0.1521","1.0257","2026-05-28 08:01:03"
"318",NULL,NULL,NULL,"0","25.49","743","0","-0.0312","-0.1521","1.0257","2026-05-28 08:01:03"
"317",NULL,NULL,NULL,"0","25.53","742","0","-0.0312","-0.1482","1.0296","2026-05-28 08:01:03"
"316",NULL,NULL,NULL,"0","25.54","743","0","-0.0312","-0.1521","1.0257","2026-05-28 08:01:03"
"315",NULL,NULL,NULL,"0","25.57","746","0","-0.0312","-0.1521","1.0296","2026-05-28 08:01:03"
"314",NULL,NULL,NULL,"0","25.52","743","0","-0.0351","-0.1521","1.0257","2026-05-28 08:01:03"
"313",NULL,NULL,NULL,"0","25.48","747","0","-0.0312","-0.1482","1.0257","2026-05-28 08:01:03"
"312",NULL,NULL,NULL,"0","25.44","743","0","-0.0312","-0.1521","1.0257","2026-05-28 08:01:03"
"311",NULL,NULL,NULL,"0","25.45","743","0","-0.0312","-0.1482","1.0218","2026-05-28 08:01:03"
"310",NULL,NULL,NULL,"0","25.52","742","0","-0.0312","-0.1521","1.0257","2026-05-28 08:00:58"
"309",NULL,NULL,NULL,"0","25.41","742","0","-0.0351","-0.1482","1.0296","2026-05-28 08:00:58"
"308",NULL,NULL,NULL,"0","25.52","743","0","-0.0351","-0.1482","1.0335","2026-05-28 08:00:58"
"307",NULL,NULL,NULL,"0","25.46","743","0","-0.0312","-0.1521","1.0218","2026-05-28 08:00:58"
"306",NULL,NULL,NULL,"0","25.54","743","0","-0.0312","-0.1521","1.0257","2026-05-28 08:00:58"
"305",NULL,NULL,NULL,"0","25.48","743","0","-0.0351","-0.1521","1.0257","2026-05-28 08:00:58"
"304",NULL,NULL,NULL,"0","25.45","743","0","-0.0312","-0.1521","1.0296","2026-05-28 08:00:58"
"303",NULL,NULL,NULL,"0","25.50","743","0","-0.0312","-0.1443","1.0179","2026-05-28 08:00:58"
"302",NULL,NULL,NULL,"0","25.50","743","0","-0.0312","-0.1521","1.0257","2026-05-28 08:00:58"
"301",NULL,NULL,NULL,"0","25.43","743","0","-0.0312","-0.1521","1.0218","2026-05-28 08:00:58"
"300",NULL,NULL,NULL,"0","25.34","742","0","-0.0312","-0.1482","1.0296","2026-05-28 08:00:53"
"299",NULL,NULL,NULL,"0","25.38","743","0","-0.0351","-0.1443","1.0218","2026-05-28 08:00:53"
"298",NULL,NULL,NULL,"0","25.40","742","0","-0.0312","-0.1521","1.0257","2026-05-28 08:00:53"
"297",NULL,NULL,NULL,"0","25.43","743","0","-0.0312","-0.156","1.0335","2026-05-28 08:00:53"
"296",NULL,NULL,NULL,"0","25.32","743","0","-0.0312","-0.1482","1.0179","2026-05-28 08:00:53"
"295",NULL,NULL,NULL,"0","25.47","743","0","-0.0273","-0.1482","1.0257","2026-05-28 08:00:53"
"294",NULL,NULL,NULL,"0","25.48","747","0","-0.0273","-0.1521","1.0296","2026-05-28 08:00:53"
"293",NULL,NULL,NULL,"0","25.41","746","0","-0.0273","-0.1521","1.0257","2026-05-28 08:00:53"
"292",NULL,NULL,NULL,"0","25.40","746","0","-0.0312","-0.1521","1.0257","2026-05-28 08:00:53"
"291",NULL,NULL,NULL,"0","25.34","743","0","-0.0351","-0.1521","1.0257","2026-05-28 08:00:53"
"290",NULL,NULL,NULL,"0","25.26","746","0","-0.0273","-0.156","1.0257","2026-05-28 08:00:48"
"289",NULL,NULL,NULL,"0","25.38","742","0","-0.0273","-0.156","1.0296","2026-05-28 08:00:48"
"288",NULL,NULL,NULL,"0","25.30","743","0","-0.0351","-0.1482","1.0218","2026-05-28 08:00:48"
"287",NULL,NULL,NULL,"0","25.31","746","0","-0.039","-0.156","1.0569","2026-05-28 08:00:48"
"286",NULL,NULL,NULL,"0","25.25","746","0","-0.0312","-0.1521","1.0179","2026-05-28 08:00:48"
"285",NULL,NULL,NULL,"0","25.37","746","0","-0.0312","-0.1482","1.0296","2026-05-28 08:00:48"
"284",NULL,NULL,NULL,"0","25.27","746","0","-0.0273","-0.1482","1.0257","2026-05-28 08:00:48"
"283",NULL,NULL,NULL,"0","25.28","746","0","-0.0312","-0.1482","1.0179","2026-05-28 08:00:48"
"282",NULL,NULL,NULL,"0","25.39","746","0","-0.0312","-0.1482","1.0218","2026-05-28 08:00:48"
"281",NULL,NULL,NULL,"0","25.15","746","0","-0.0312","-0.1521","1.0257","2026-05-28 08:00:48"
"280",NULL,NULL,NULL,"0","25.26","746","0","-0.0312","-0.1482","1.0296","2026-05-28 08:00:43"
"279",NULL,NULL,NULL,"0","25.38","746","0","-0.0351","-0.1521","1.0296","2026-05-28 08:00:43"
"278",NULL,NULL,NULL,"0","25.19","746","0","-0.0312","-0.1482","1.0218","2026-05-28 08:00:43"
"277",NULL,NULL,NULL,"0","25.25","746","0","-0.0351","-0.1443","1.0335","2026-05-28 08:00:43"
"276",NULL,NULL,NULL,"0","25.38","746","0","-0.0273","-0.1443","1.0179","2026-05-28 08:00:43"
"275",NULL,NULL,NULL,"0","25.13","746","0","-0.0312","-0.1443","1.0179","2026-05-28 08:00:43"
"274",NULL,NULL,NULL,"0","24.98","746","0","-0.0312","-0.1482","1.0257","2026-05-28 08:00:43"
"273",NULL,NULL,NULL,"0","25.14","746","0","-0.0273","-0.1521","1.0335","2026-05-28 08:00:43"
"272",NULL,NULL,NULL,"0","24.76","742","0","-0.0273","-0.1482","1.0218","2026-05-28 08:00:43"
"271",NULL,NULL,NULL,"0","24.60","741","0","-0.0312","-0.1443","1.0218","2026-05-28 08:00:43"
"270",NULL,NULL,NULL,"0","25.17","742","0","-0.0312","-0.1521","1.0179","2026-05-28 08:00:38"
"269",NULL,NULL,NULL,"0","25.01","742","0","-0.0351","-0.1482","1.0218","2026-05-28 08:00:38"
"268",NULL,NULL,NULL,"0","25.19","747","0","-0.0273","-0.1521","1.0296","2026-05-28 08:00:38"
"267",NULL,NULL,NULL,"0","24.99","742","0","-0.0312","-0.156","1.0257","2026-05-28 08:00:38"
"266",NULL,NULL,NULL,"0","24.71","742","0","-0.0312","-0.156","1.0218","2026-05-28 08:00:38"
"265",NULL,NULL,NULL,"0","24.94","747","0","-0.0273","-0.156","1.0257","2026-05-28 08:00:38"
"264",NULL,NULL,NULL,"0","24.43","742","0","-0.0312","-0.1482","1.0257","2026-05-28 08:00:38"
"263",NULL,NULL,NULL,"0","25.05","743","0","-0.0312","-0.1521","1.0257","2026-05-28 08:00:38"
"262",NULL,NULL,NULL,"0","25.07","743","0","-0.0312","-0.1482","1.0257","2026-05-28 08:00:38"
"261",NULL,NULL,NULL,"0","24.92","743","0","-0.0351","-0.1521","1.0296","2026-05-28 08:00:38"
"260",NULL,NULL,NULL,"0","24.81","743","0","-0.0312","-0.1521","1.0257","2026-05-28 08:00:33"
"259",NULL,NULL,NULL,"0","25.23","743","0","-0.0312","-0.1521","1.0296","2026-05-28 08:00:33"
"258",NULL,NULL,NULL,"0","24.95","743","0","-0.0351","-0.1482","1.0296","2026-05-28 08:00:33"
"257",NULL,NULL,NULL,"0","24.88","743","0","-0.0273","-0.1521","1.0296","2026-05-28 08:00:33"
"256",NULL,NULL,NULL,"0","25.09","743","0","-0.0312","-0.1521","1.0218","2026-05-28 08:00:33"
"255",NULL,NULL,NULL,"0","25.00","743","0","-0.0312","-0.1482","1.0257","2026-05-28 08:00:33"
"254",NULL,NULL,NULL,"0","25.07","743","0","-0.0312","-0.1521","1.0218","2026-05-28 08:00:33"
"253",NULL,NULL,NULL,"0","24.84","746","0","-0.0273","-0.1521","1.0257","2026-05-28 08:00:33"
"252",NULL,NULL,NULL,"0","24.95","742","0","-0.0351","-0.1482","1.0257","2026-05-28 08:00:33"
"251",NULL,NULL,NULL,"0","24.75","742","0","-0.0273","-0.156","1.0257","2026-05-28 08:00:33"
"250",NULL,NULL,NULL,"0","24.64","742","0","-0.0312","-0.1521","1.0218","2026-05-28 08:00:28"
"249",NULL,NULL,NULL,"0","24.68","742","0","-0.0312","-0.1482","1.0257","2026-05-28 08:00:28"
"248",NULL,NULL,NULL,"0","24.61","742","0","-0.0312","-0.1482","1.0257","2026-05-28 08:00:28"
"247",NULL,NULL,NULL,"0","24.52","741","0","-0.0312","-0.1482","1.0257","2026-05-28 08:00:28"
"246",NULL,NULL,NULL,"0","24.52","741","0","-0.0312","-0.1521","1.0218","2026-05-28 08:00:28"
"245",NULL,NULL,NULL,"0","24.54","741","0","-0.0312","-0.1521","1.0179","2026-05-28 08:00:28"
"244",NULL,NULL,NULL,"0","24.70","742","0","-0.0273","-0.1482","1.0218","2026-05-28 08:00:28"
"243",NULL,NULL,NULL,"0","24.98","742","0","-0.0273","-0.1482","1.0257","2026-05-28 08:00:28"
"242",NULL,NULL,NULL,"0","24.77","742","0","-0.0312","-0.1482","1.0296","2026-05-28 08:00:28"
"241",NULL,NULL,NULL,"0","24.85","742","0","-0.0273","-0.1521","1.0218","2026-05-28 08:00:28"
"240",NULL,NULL,NULL,"0","24.91","743","0","-0.039","-0.1482","1.0296","2026-05-28 08:00:23"
"239",NULL,NULL,NULL,"0","25.11","742","0","-0.0312","-0.1482","1.0218","2026-05-28 08:00:23"
"238",NULL,NULL,NULL,"0","25.30","746","0","-0.0273","-0.1521","1.0257","2026-05-28 08:00:23"
"237",NULL,NULL,NULL,"0","25.20","746","0","-0.0312","-0.156","1.0218","2026-05-28 08:00:23"
"236",NULL,NULL,NULL,"0","25.32","746","0","-0.0312","-0.1482","1.0218","2026-05-28 08:00:23"
"235",NULL,NULL,NULL,"0","25.10","746","0","-0.0351","-0.1521","1.0296","2026-05-28 08:00:23"
"234",NULL,NULL,NULL,"0","25.28","746","0","-0.0312","-0.1521","1.0296","2026-05-28 08:00:23"
"233",NULL,NULL,NULL,"0","25.37","747","0","-0.0312","-0.156","1.0257","2026-05-28 08:00:23"
"232",NULL,NULL,NULL,"0","25.36","747","0","-0.0351","-0.1482","1.0296","2026-05-28 08:00:23"
"231",NULL,NULL,NULL,"0","25.32","746","0","-0.0273","-0.156","1.0257","2026-05-28 08:00:23"
"230",NULL,NULL,NULL,"0","25.19","747","0","-0.0312","-0.1521","1.0257","2026-05-28 08:00:18"
"229",NULL,NULL,NULL,"0","25.29","742","0","-0.0273","-0.1521","1.0296","2026-05-28 08:00:18"
"228",NULL,NULL,NULL,"0","25.38","743","0","-0.0351","-0.1482","1.0257","2026-05-28 08:00:18"
"227",NULL,NULL,NULL,"0","25.29","742","0","-0.0312","-0.1482","1.0218","2026-05-28 08:00:18"
"226",NULL,NULL,NULL,"0","25.35","743","0","-0.0312","-0.1521","1.0296","2026-05-28 08:00:18"
